SONG Jaewon POSITION,SONG Jaewon LAP TIME,SONG Jaewon ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
2,7.59,7.59,1,7.36,7.36,3,7.65,7.65,4,7.90,7.90
2,9.75,17.34,1,9.89,17.25,3,9.76,17.41,4,10.05,17.95
1,9.48,26.82,3,9.74,26.99,2,9.43,26.84,4,9.66,27.61
1,9.77,36.59,3,9.83,36.82,2,9.96,36.80,4,10.14,37.75
1,9.85,46.440,2,9.86,46.671,3,9.94,46.732,4,10.52,48.266
