Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME
1,9.409,9.409,4,9.702,9.702,3,9.625,9.625,2,9.567,9.567,5,9.892,9.892
4,14.639,24.048,3,14.322,24.024,1,14.254,23.879,5,14.783,24.349,2,14.037,23.928
2,13.714,37.762,4,13.760,37.783,1,13.660,37.539,3,13.431,37.780,5,14.092,38.020
3,13.605,51.367,2,13.473,51.256,1,13.387,50.926,4,13.631,51.410,5,13.538,51.558
2,13.196,1:04.562,3,13.389,1:04.644,1,13.561,1:04.487,4,13.372,1:04.782,5,13.229,1:04.786
2,12.588,1:17.150,3,12.598,1:17.242,1,12.411,1:16.897,4,12.508,1:17.289,5,12.595,1:17.381
2,12.100,1:29.250,3,12.040,1:29.282,1,12.100,1:28.997,5,12.100,1:29.389,4,11.914,1:29.295
2,11.841,1:41.090,3,11.828,1:41.109,1,12.056,1:41.053,5,11.835,1:41.223,4,11.856,1:41.150
2,10.237,1:51.327,4,10.330,1:51.438,3,10.297,1:51.349,5,10.493,1:51.716,1,10.174,1:51.324
4,10.154,2:01.480,1,10.011,2:01.449,2,10.107,2:01.456,5,10.637,2:02.352,3,10.136,2:01.459
4,10.327,2:11.807,2,10.246,2:11.695,3,10.318,2:11.773,5,11.255,2:13.607,1,9.856,2:11.314
2,10.147,2:21.954,3,10.319,2:22.013,4,10.343,2:22.116,5,11.952,2:25.558,1,10.116,2:21.429
4,10.734,2:32.688,2,10.314,2:32.326,3,10.534,2:32.650,5,12.599,2:38.156,1,10.378,2:31.807
3,10.53,2:43.218,2,10.83,2:43.156,4,11.12,2:43.769,5,13.41,2:51.564,1,10.85,2:42.655
