LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Anja OBRADOVIC POSITION,Anja OBRADOVIC LAP TIME,Anja OBRADOVIC ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,Renee Marie STEENGE POSITION,Renee Marie STEENGE LAP TIME,Renee Marie STEENGE ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Kalina GIUROVA POSITION,Kalina GIUROVA LAP TIME,Kalina GIUROVA ELAPSED TIME
1,9.25,9.25,3,9.50,9.50,4,9.63,9.63,6,9.94,9.94,2,9.38,9.38,5,9.81,9.81,7,9.98,9.98
3,13.59,22.84,4,13.45,22.95,5,13.35,22.98,7,13.16,23.10,1,13.36,22.74,6,13.19,23.00,2,12.85,22.83
6,13.34,36.18,5,13.05,36.00,3,12.77,35.75,4,12.78,35.88,1,12.78,35.52,7,13.30,36.30,2,12.81,35.64
6,12.96,49.14,3,12.77,48.77,4,13.03,48.78,5,13.03,48.91,1,13.03,48.55,7,12.99,49.29,2,13.02,48.66
6,12.44,1:01.58,2,12.32,1:01.09,5,12.67,1:01.45,4,12.40,1:01.31,1,12.42,1:00.97,7,12.41,1:01.70,3,12.54,1:01.20
7,11.80,1:13.38,2,11.83,1:12.92,6,11.87,1:13.32,3,11.67,1:12.98,1,11.82,1:12.79,5,11.60,1:13.30,4,11.83,1:13.03
6,11.49,1:24.87,1,10.84,1:23.76,7,11.60,1:24.92,3,11.02,1:24.00,2,11.09,1:23.88,4,11.36,1:24.66,5,11.69,1:24.72
4,9.53,1:34.40,1,10.30,1:34.06,7,11.26,1:36.18,3,10.29,1:34.29,2,10.26,1:34.14,5,9.81,1:34.47,6,11.31,1:36.03
4,10.19,1:44.59,1,10.17,1:44.23,7,11.39,1:47.57,3,10.13,1:44.42,2,10.16,1:44.30,5,10.32,1:44.79,6,11.40,1:47.43
4,10.19,1:54.78,1,10.31,1:54.54,7,11.73,1:59.30,3,10.32,1:54.74,2,10.32,1:54.62,5,10.19,1:54.98,6,11.75,1:59.18
1,9.50,2:04.28,2,9.75,2:04.29,7,12.05,2:11.35,4,10.09,2:04.83,3,9.71,2:04.33,5,10.01,2:04.99,6,12.14,2:11.32
1,9.21,2:13.49,2,9.88,2:14.17,6,11.79,2:23.14,4,10.21,2:15.04,3,10.04,2:14.37,5,10.31,2:15.30,7,13.24,2:24.56
1,9.70,2:23.19,2,9.87,2:24.04,6,12.12,2:35.26,4,10.59,2:25.63,3,9.85,2:24.22,5,11.02,2:26.32,7,13.96,2:38.52
1,10.09,2:33.262,2,10.03,2:34.045,6,12.69,2:47.922,4,11.14,2:36.77,3,9.93,2:34.15,5,12.28,2:38.60,7,13.19,2:51.693
