Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,Augusto DUZIONI POSITION,Augusto DUZIONI LAP TIME,Augusto DUZIONI ELAPSED TIME,de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME,Vincent GIRARD POSITION,Vincent GIRARD LAP TIME,Vincent GIRARD ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME
1,10.70,10.70,6,11.36,11.36,5,11.18,11.18,4,11.07,11.07,3,11.01,,2,10.85,10.85
1,14.07,24.77,6,13.96,25.32,4,13.94,25.12,5,14.16,25.23,3,13.99,,2,14.03,24.88
1,13.34,38.11,5,13.11,38.43,6,13.32,38.44,3,12.97,38.20,4,13.31,,2,13.31,38.19
3,12.23,50.34,6,12.03,50.46,1,11.74,50.18,4,12.19,50.39,5,12.09,,2,12.09,50.28
3,10.62,1:00.96,5,10.77,1:01.23,4,10.88,1:01.06,6,10.86,1:01.25,1,10.39,,2,10.59,1:00.87
1,10.63,1:11.59,5,10.57,1:11.80,6,10.89,1:11.95,4,10.47,1:11.72,1,10.80,,3,10.77,1:11.64
5,21.62,1:33.21,3,11.13,1:22.93,1,10.39,1:22.34,4,12.78,1:24.50,6,25.30,,2,11.06,1:22.70
5,11.95,1:45.16,2,9.68,1:32.61,1,9.47,1:31.81,4,10.12,1:34.62,6,12.02,,3,9.94,1:32.64
5,12.50,1:57.66,2,9.68,1:42.29,1,9.58,1:41.39,4,9.91,1:44.53,6,11.12,,3,10.02,1:42.66
5,12.38,2:10.04,2,9.67,1:51.96,1,9.57,1:50.96,4,10.05,1:54.58,6,11.69,,3,9.99,1:52.65
5,11.05,2:21.09,2,9.77,2:01.73,1,9.75,2:00.71,4,10.56,2:05.14,6,11.15,,3,10.19,2:02.84
5,9.86,2:30.95,2,10.37,2:12.10,1,9.99,2:10.70,4,11.13,2:16.27,6,10.65,,3,10.62,2:13.46
5,9.54,2:40.49,2,10.47,2:22.57,1,10.25,2:20.95,4,12.00,2:28.27,6,11.19,,3,11.05,2:24.51
5,10.41,2:50.870,2,11.21,2:33.752,1,10.51,2:31.442,4,12.35,2:40.602,6,11.63,,3,11.44,2:35.944
