DJEMAL Aydin POSITION,DJEMAL Aydin LAP TIME,DJEMAL Aydin ELAPSED TIME,PROKOP Michal POSITION,PROKOP Michal LAP TIME,PROKOP Michal ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,CHANG Yin-Cheng POSITION,CHANG Yin-Cheng LAP TIME,CHANG Yin-Cheng ELAPSED TIME
4,14.08,14.08,2,13.91,13.91,3,13.94,13.94,1,13.73,13.73
4,10.91,24.99,2,10.89,24.80,3,10.98,24.92,1,10.96,24.69
4,11.04,36.03,3,11.09,35.89,2,10.95,35.87,1,11.12,35.81
3,11.13,47.16,4,11.29,47.18,2,11.05,46.92,1,11.02,46.83
3,10.59,57.75,4,10.63,57.81,2,10.75,57.67,1,10.73,57.56
2,9.89,1:07.64,4,10.09,1:07.90,3,10.12,1:07.79,1,9.96,1:07.52
1,9.52,1:17.16,4,10.20,1:18.10,3,10.08,1:17.87,2,9.89,1:17.41
1,9.68,1:26.84,3,9.90,1:28.00,4,10.47,1:28.34,2,10.08,1:27.49
1,10.20,1:37.035,3,10.05,1:38.044,4,10.49,1:38.822,2,10.32,1:37.806
