IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,Marta KNOCH POSITION,Marta KNOCH LAP TIME,Marta KNOCH ELAPSED TIME,Danielle AMOS POSITION,Danielle AMOS LAP TIME,Danielle AMOS ELAPSED TIME
3,14.35,,1,14.16,14.16,5,14.55,14.55,2,14.25,,4,14.38,14.38
3,10.68,,1,10.66,24.82,5,10.64,25.19,2,10.69,,4,10.66,25.04
3,10.60,,1,10.66,35.48,5,10.70,35.89,2,10.62,,4,10.74,35.78
3,10.63,,1,10.57,46.05,5,10.65,46.54,2,10.62,,4,10.67,46.45
4,24.40,,1,10.37,56.42,3,10.33,56.87,5,34.03,,2,10.41,56.86
4,24.75,,1,10.20,1:06.62,2,9.97,1:06.84,5,17.42,,3,10.47,1:07.33
5,15.50,,1,10.09,1:16.71,2,10.04,1:16.88,4,10.71,,3,10.67,1:18.00
5,12.86,,1,9.98,1:26.69,2,10.03,1:26.91,4,10.84,,3,10.88,1:28.88
5,13.95,,1,9.97,1:36.66,2,10.31,1:37.22,4,17.69,,3,11.00,1:39.888
