BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
1,13.86,13.86,2,13.97,13.97,5,14.29,14.29,3,14.09,14.09,4,14.11,14.11
1,10.82,24.68,3,10.89,24.86,5,10.89,25.18,4,10.95,25.04,2,10.71,24.82
2,9.95,34.63,1,9.64,34.50,5,9.89,35.07,4,9.86,34.90,3,9.94,34.76
2,9.79,44.42,1,9.90,44.40,5,9.75,44.82,4,9.80,44.70,3,9.86,44.62
1,9.95,54.37,2,10.07,54.47,5,9.95,54.77,4,9.97,54.67,3,9.93,54.55
1,10.04,1:04.41,2,10.04,1:04.51,5,10.07,1:04.84,4,10.06,1:04.73,3,10.10,1:04.65
1,9.81,1:14.22,3,9.82,1:14.33,5,9.92,1:14.76,2,9.57,1:14.30,4,9.78,1:14.43
2,9.66,1:23.88,3,9.65,1:23.98,5,10.05,1:24.81,1,9.16,1:23.46,4,9.71,1:24.14
2,9.75,1:33.63,3,9.71,1:33.69,5,10.76,1:35.57,1,9.22,1:32.68,4,9.80,1:33.94
