Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
3,7.19,7.19,2,7.16,7.16,1,7.08,7.08,4,7.38,7.38
3,9.21,16.40,2,9.14,16.30,1,9.12,16.20,4,9.15,16.53
3,8.61,25.01,1,8.61,24.91,2,8.76,24.96,4,8.60,25.13
4,9.23,34.24,1,8.73,33.64,3,9.20,34.16,2,8.79,33.92
4,9.62,43.867,1,8.86,42.50,3,9.35,43.519,2,9.00,42.92
