KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
1,12.75,12.75,2,12.85,12.85,3,12.93,12.93,4,13.10,13.10
1,9.73,22.48,2,9.73,22.58,3,9.77,22.70,4,9.72,22.82
1,9.41,31.89,2,9.46,32.04,3,9.45,32.15,4,9.45,32.27
1,9.06,40.95,2,9.02,41.06,3,9.06,41.21,4,9.05,41.32
1,8.87,49.82,2,9.10,50.16,3,9.06,50.27,4,9.13,50.45
1,9.02,58.84,2,8.94,59.10,3,9.02,59.29,4,9.03,59.48
1,8.80,1:07.64,2,8.82,1:07.92,3,8.78,1:08.07,4,8.72,1:08.20
1,8.93,1:16.57,2,8.81,1:16.73,3,8.80,1:16.87,4,8.96,1:17.16
1,9.00,1:25.57,2,8.94,1:25.67,3,8.94,1:25.81,4,8.97,1:26.13
1,9.03,1:34.60,2,9.07,1:34.74,3,9.01,1:34.82,4,9.09,1:35.22
1,8.98,1:43.58,2,9.22,1:43.96,3,9.22,1:44.04,4,9.06,1:44.28
1,9.02,1:52.60,2,9.31,1:53.27,3,9.31,1:53.35,4,9.14,1:53.42
1,8.88,2:01.48,2,9.02,2:02.29,3,9.01,2:02.36,4,9.04,2:02.46
1,8.99,2:10.47,2,9.10,2:11.39,3,9.11,2:11.47,4,9.11,2:11.57
1,9.05,2:19.52,2,9.30,2:20.69,3,9.31,2:20.78,4,9.29,2:20.86
1,9.19,2:28.71,2,9.34,2:30.03,3,9.28,2:30.06,4,9.29,2:30.15
1,9.20,2:37.91,2,9.54,2:39.57,3,9.68,2:39.74,4,9.75,2:39.90
1,9.25,2:47.16,3,9.42,2:48.99,2,9.17,2:48.91,4,9.31,2:49.21
1,9.02,2:56.18,3,9.25,2:58.24,2,9.30,2:58.21,4,9.11,2:58.32
1,9.04,3:05.22,2,9.13,3:07.37,3,9.24,3:07.45,4,9.25,3:07.57
1,9.23,3:14.45,2,9.32,3:16.69,3,9.32,3:16.77,4,9.33,3:16.90
1,9.25,3:23.70,4,9.60,3:26.29,2,9.36,3:26.13,3,9.37,3:26.27
1,9.35,3:33.05,4,9.59,3:35.88,2,9.26,3:35.39,3,9.53,3:35.80
1,9.50,3:42.55,4,9.62,3:45.50,2,9.26,3:44.65,3,9.49,3:45.29
1,8.99,3:51.54,4,9.12,3:54.62,2,9.45,3:54.10,3,9.15,3:54.44
1,9.14,4:00.68,4,8.93,4:03.55,2,9.29,4:03.39,3,9.06,4:03.50
1,9.24,4:09.909,4,9.39,4:12.929,2,9.29,4:12.669,3,9.21,4:12.700
