Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
1,12.85,12.85,2,12.94,12.94,3,13.04,13.04,5,13.32,13.32,4,13.16,13.16
2,10.21,23.06,1,10.03,22.97,3,10.13,23.17,4,9.98,23.30,5,10.24,23.40
2,10.12,33.18,1,10.11,33.08,3,10.10,33.27,4,10.07,33.37,5,10.11,33.51
2,10.17,43.35,1,10.16,43.24,3,10.18,43.45,4,10.19,43.56,5,10.13,43.64
2,9.95,53.30,1,9.92,53.16,3,9.95,53.40,5,10.13,53.69,4,9.92,53.56
2,9.63,1:02.93,1,9.63,1:02.79,3,9.63,1:03.03,5,9.63,1:03.32,4,9.57,1:03.13
2,9.51,1:12.44,1,9.63,1:12.42,3,9.51,1:12.54,5,9.41,1:12.73,4,9.50,1:12.63
1,9.42,1:21.86,3,9.87,1:22.29,2,9.52,1:22.06,4,9.66,1:22.39,5,9.92,1:22.55
1,9.62,1:31.471,4,10.04,1:32.326,2,9.61,1:31.670,3,9.60,1:31.988,5,25.03,1:47.578
