Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
1,6.84,6.84,4,7.23,7.23,2,6.97,6.97,3,7.17,7.17
1,8.97,15.81,4,9.29,16.52,2,8.91,15.88,3,9.10,16.27
2,8.58,24.39,4,8.75,25.27,1,8.39,24.27,3,8.81,25.08
2,8.62,33.01,4,8.92,34.19,1,8.51,32.78,3,8.81,33.89
2,8.84,41.843,4,9.17,43.356,1,8.86,41.632,3,9.01,42.897
