Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME,Walter RUSK POSITION,Walter RUSK LAP TIME,Walter RUSK ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Cyril LAFARGE POSITION,Cyril LAFARGE LAP TIME,Cyril LAFARGE ELAPSED TIME
1,6.892,6.892,4,17.212,17.212,2,7.129,7.129,3,7.409,7.409
1,9.631,16.524,4,10.141,27.353,2,9.466,16.595,3,9.429,16.838
2,9.271,25.795,4,10.230,37.582,1,9.022,25.617,3,9.261,26.099
2,9.527,35.322,4,11.450,49.032,1,8.910,34.527,3,9.583,35.682
2,9.788,45.110,4,13.590,1:02.621,1,9.113,43.640,3,9.519,45.201
