Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,PIERRE-GILLES Jordan POSITION,PIERRE-GILLES Jordan LAP TIME,PIERRE-GILLES Jordan ELAPSED TIME
4,7.10,7.10,1,6.82,6.82,2,6.92,6.92,5,7.20,7.20,3,7.09,7.09
4,9.03,16.13,2,8.94,15.76,1,8.82,15.74,5,9.08,16.28,3,8.82,15.91
4,8.42,24.55,2,8.47,24.23,1,8.41,24.15,5,8.43,24.71,3,8.38,24.29
3,8.41,32.96,5,8.96,33.19,1,8.46,32.61,4,8.46,33.17,2,8.48,32.77
3,8.62,41.58,5,9.80,42.99,1,8.73,41.34,4,8.78,41.95,2,8.64,41.41
