EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
1,12.63,12.63,1,12.63,12.63,4,12.98,12.98,3,12.81,12.81
1,9.19,21.82,2,9.29,21.92,4,9.14,22.12,3,9.21,22.02
2,9.17,30.99,1,8.90,30.82,4,9.07,31.19,3,9.07,31.09
2,8.90,39.89,1,8.96,39.78,3,8.81,40.00,4,9.01,40.10
2,8.99,48.88,1,8.97,48.75,3,8.97,48.97,4,8.99,49.09
2,8.80,57.68,1,8.79,57.54,3,8.81,57.78,4,8.85,57.94
3,8.79,1:06.47,1,8.74,1:06.28,2,8.59,1:06.37,4,8.71,1:06.65
3,8.81,1:15.28,1,8.87,1:15.15,2,8.86,1:15.23,4,8.95,1:15.60
3,9.29,1:24.57,1,9.10,1:24.25,2,9.24,1:24.47,4,9.42,1:25.02
