Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
2,9.09,9.09,3,9.24,9.24,4,9.30,9.30,5,9.30,9.30,6,9.49,9.49,1,9.05,9.05
4,11.55,20.64,2,11.19,20.43,5,11.39,20.69,1,10.96,20.26,6,11.36,20.85,3,11.46,20.51
4,10.58,31.22,1,10.51,30.94,5,10.61,31.30,2,10.71,30.97,6,10.50,31.35,3,10.61,31.12
4,10.54,41.76,1,10.49,41.43,6,10.68,41.98,2,10.58,41.55,5,10.42,41.77,3,10.52,41.64
5,10.72,52.48,1,10.61,52.04,6,10.58,52.56,2,10.54,52.09,4,10.59,52.36,3,10.62,52.26
6,10.11,1:02.59,2,10.25,1:02.29,5,9.96,1:02.52,3,10.27,1:02.36,4,10.10,1:02.46,1,9.92,1:02.18
5,10.05,1:12.64,1,9.76,1:12.05,6,10.25,1:12.77,3,9.92,1:12.28,4,9.88,1:12.34,2,10.00,1:12.18
5,9.72,1:22.36,1,9.66,1:21.71,6,10.00,1:22.77,2,9.48,1:21.76,4,9.73,1:22.07,3,9.67,1:21.85
5,9.91,1:32.27,1,9.57,1:31.28,6,10.42,1:33.19,2,9.62,1:31.38,4,9.58,1:31.65,3,9.61,1:31.46
5,10.28,1:42.55,1,9.72,1:41.00,6,10.70,1:43.89,2,9.71,1:41.09,4,9.68,1:41.33,3,9.70,1:41.16
5,10.82,1:53.37,1,9.63,1:50.63,6,11.19,1:55.08,2,9.58,1:50.67,4,9.70,1:51.03,3,9.67,1:50.83
5,11.50,2:04.87,1,9.72,2:00.35,6,11.68,2:06.76,2,9.74,2:00.41,4,9.71,2:00.74,3,9.71,2:00.54
5,11.91,2:16.78,1,9.71,2:10.06,6,12.36,2:19.12,2,9.66,2:10.07,4,9.91,2:10.65,3,9.60,2:10.14
5,12.65,2:29.425,1,9.81,2:19.867,6,12.30,2:31.418,3,10.02,2:20.082,4,10.78,2:21.427,2,9.79,2:19.926
