VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Morgan IZYKOWSKI POSITION,Morgan IZYKOWSKI LAP TIME,Morgan IZYKOWSKI ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
2,13.95,13.95,3,14.09,14.09,1,13.86,13.86,4,14.17,14.17
2,11.51,25.46,3,11.47,25.56,1,11.50,25.36,4,11.48,25.65
3,10.81,36.27,2,10.70,36.26,1,10.83,36.19,4,10.75,36.40
2,9.82,46.09,3,9.93,46.19,1,9.80,45.99,4,9.95,46.35
2,9.79,55.88,3,9.83,56.02,1,9.80,55.79,4,9.79,56.14
2,9.87,1:05.75,3,9.83,1:05.85,1,9.81,1:05.60,4,9.84,1:05.98
2,9.84,1:15.59,3,9.82,1:15.67,1,9.89,1:15.49,4,9.80,1:15.78
2,9.92,1:25.51,4,10.02,1:25.69,1,9.92,1:25.41,3,9.83,1:25.61
2,10.11,1:35.614,4,10.11,1:35.792,1,10.11,1:35.512,3,10.14,1:35.745
