ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME
1,6.86,6.86,4,7.14,7.14,2,6.97,6.97,3,7.13,7.13
2,9.15,16.01,4,9.09,16.23,1,8.95,15.92,3,9.00,16.13
2,8.55,24.56,4,8.58,24.81,1,8.49,24.41,3,8.45,24.58
3,8.65,33.21,4,8.58,33.39,1,8.51,32.92,2,8.57,33.15
3,9.07,42.282,4,8.93,42.325,1,8.70,41.62,2,8.73,41.881
