TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME,KIM Tae Sung POSITION,KIM Tae Sung LAP TIME,KIM Tae Sung ELAPSED TIME,SONG Jian POSITION,SONG Jian LAP TIME,SONG Jian ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME
3,13.05,13.05,1,12.95,12.95,4,13.22,13.22,5,13.33,,2,12.99,12.99
3,9.61,22.66,2,9.62,22.57,4,9.53,22.75,5,9.51,,1,9.45,22.44
4,10.01,32.67,1,9.77,32.34,3,9.82,32.57,5,9.93,,2,9.96,32.40
4,9.36,42.03,1,9.26,41.60,3,9.33,41.90,5,9.38,,2,9.36,41.76
4,9.30,51.33,1,9.26,50.86,3,9.35,51.25,5,9.23,,2,9.38,51.14
5,9.27,1:00.60,1,8.96,59.82,4,9.25,1:00.50,3,9.04,,2,9.16,1:00.30
4,9.34,1:09.94,1,8.66,1:08.48,3,9.21,1:09.71,5,21.44,,2,9.25,1:09.55
4,9.12,1:19.06,1,8.78,1:17.26,2,9.23,1:18.94,5,12.84,,3,9.48,1:19.03
3,9.43,1:28.496,1,9.25,1:26.51,0,9.55,1:28.49,5,15.39,,4,9.77,1:28.801
