Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME
2,13.18,13.18,1,13.09,13.09,4,13.48,13.48,3,13.25,13.25
3,9.71,22.89,2,9.62,22.71,4,9.57,23.05,1,9.39,22.64
3,9.63,32.52,2,9.69,32.40,4,9.61,32.66,1,9.65,32.29
3,9.66,42.18,2,9.70,42.10,4,9.77,42.43,1,9.69,41.98
3,9.73,51.91,2,9.64,51.74,4,9.87,52.30,1,9.76,51.74
3,9.85,1:01.76,1,9.81,1:01.55,4,10.46,1:02.76,2,9.91,1:01.65
3,9.78,1:11.54,1,9.69,1:11.24,4,11.14,1:13.90,2,9.68,1:11.33
2,10.06,1:21.60,1,9.68,1:20.92,3,11.30,1:25.20,4,24.91,1:36.24
2,10.76,1:32.357,1,10.13,1:31.047,3,11.75,1:36.944,4,23.14,1:59.371
