Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME
2,12.57,12.57,1,12.51,12.51,3,12.63,12.63,4,12.74,12.74,5,12.89,12.89
2,9.60,22.17,1,9.54,22.05,3,9.61,22.24,4,9.59,22.33,5,9.60,22.49
1,9.06,31.23,2,9.29,31.34,3,9.19,31.43,4,9.19,31.52,5,9.17,31.66
1,9.11,40.34,2,9.09,40.43,3,9.08,40.51,4,9.09,40.61,5,9.10,40.76
1,9.01,49.35,2,8.96,49.39,3,9.05,49.56,4,9.05,49.66,5,9.08,49.84
1,8.89,58.24,2,8.99,58.38,4,9.06,58.62,3,8.88,58.54,5,9.02,58.86
1,8.92,1:07.16,2,8.91,1:07.29,4,8.95,1:07.57,3,8.87,1:07.41,5,9.20,1:08.06
1,8.96,1:16.12,4,9.29,1:16.58,3,8.96,1:16.53,2,8.93,1:16.34,5,9.47,1:17.53
1,9.12,1:25.237,4,9.55,1:26.126,3,9.22,1:25.749,2,9.06,1:25.400,5,9.75,1:27.272
