ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
2,17.02,17.02,1,16.91,16.91,3,17.09,17.09,4,17.23,17.23
3,13.98,31.00,2,13.94,30.85,1,13.73,30.82,4,13.94,31.17
3,10.65,41.65,1,10.58,41.43,2,10.74,41.56,4,10.61,41.78
2,9.61,51.26,1,9.72,51.15,3,9.80,51.36,4,9.75,51.53
2,9.32,1:00.58,1,9.33,1:00.48,3,9.47,1:00.83,4,9.31,1:00.84
2,9.30,1:09.88,1,9.30,1:09.78,4,9.51,1:10.34,3,9.30,1:10.14
2,9.32,1:19.20,1,9.34,1:19.12,4,9.33,1:19.67,3,9.39,1:19.53
2,9.57,1:28.77,1,9.57,1:28.69,4,9.63,1:29.30,3,9.51,1:29.04
2,9.77,1:38.534,1,9.79,1:38.478,4,9.90,1:39.198,3,9.88,1:38.916
