Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,7.03,7.03,1,6.81,6.81,3,7.16,7.16,4,7.35,7.35
2,8.98,16.01,1,8.97,15.78,3,8.95,16.11,4,8.87,16.22
2,8.54,24.55,1,8.53,24.31,3,8.51,24.62,4,8.53,24.75
1,8.73,33.28,2,8.99,33.30,3,8.80,33.42,4,8.70,33.45
1,8.89,42.166,3,9.13,42.429,2,8.99,42.406,4,9.02,42.467
