Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,Attila SZASZ POSITION,Attila SZASZ LAP TIME,Attila SZASZ ELAPSED TIME,TIBORCZ Daniel POSITION,TIBORCZ Daniel LAP TIME,TIBORCZ Daniel ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Lorenzo MORRONE POSITION,Lorenzo MORRONE LAP TIME,Lorenzo MORRONE ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME
3,10.70,10.70,2,10.57,10.57,5,10.84,10.84,6,11.04,11.04,4,10.77,10.77,1,10.44,10.44
4,13.00,23.70,2,13.01,23.58,2,12.74,23.58,6,12.94,23.98,5,13.09,23.86,1,13.04,23.48
4,11.71,35.41,3,11.72,35.30,2,11.56,35.14,6,11.83,35.81,5,11.79,35.65,1,11.59,35.07
4,10.98,46.39,3,10.98,46.28,2,11.04,46.18,6,10.93,46.74,5,10.95,46.60,1,11.02,46.09
4,10.45,56.84,3,10.47,56.75,2,10.48,56.66,6,10.51,57.25,5,10.50,57.10,1,10.50,56.59
3,10.46,1:07.30,4,10.66,1:07.41,2,10.56,1:07.22,6,10.44,1:07.69,5,10.45,1:07.55,1,10.55,1:07.14
3,10.72,1:18.02,4,10.70,1:18.11,2,10.71,1:17.93,6,10.67,1:18.36,5,10.69,1:18.24,1,10.70,1:17.84
3,10.61,1:28.63,4,10.63,1:28.74,2,10.64,1:28.57,6,10.67,1:29.03,5,10.64,1:28.88,1,10.67,1:28.51
3,10.44,1:39.07,4,10.43,1:39.17,2,10.47,1:39.04,6,10.42,1:39.45,5,10.41,1:39.29,1,10.44,1:38.95
2,10.21,1:49.28,4,10.37,1:49.54,3,10.43,1:49.47,5,10.14,1:49.59,6,10.38,1:49.67,1,10.25,1:49.20
3,9.82,1:59.10,4,9.65,1:59.19,6,9.89,1:59.36,1,9.43,1:59.02,5,9.54,1:59.21,2,9.88,1:59.08
2,9.47,2:08.57,3,9.61,2:08.80,5,9.78,2:09.14,1,8.93,2:07.95,3,9.59,2:08.80,6,10.09,2:09.17
2,9.55,2:18.12,4,9.52,2:18.32,5,9.79,2:18.93,1,9.10,2:17.05,3,9.49,2:18.29,6,10.09,2:19.26
2,9.81,2:27.922,3,9.65,2:27.958,5,10.27,2:29.179,1,9.50,2:26.528,4,10.50,2:28.768,6,10.12,2:29.354
