Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
3,7.15,7.15,2,6.91,6.91,4,7.21,7.21,1,6.84,6.84
3,9.12,16.27,2,9.13,16.04,4,9.21,16.42,1,9.07,15.91
3,8.43,24.70,2,8.56,24.60,4,8.40,24.82,1,8.68,24.59
3,9.20,33.90,4,9.55,34.15,2,8.67,33.49,1,8.78,33.37
3,9.50,43.392,0,,PEN,2,8.98,42.461,1,9.02,42.382
