Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME
2,14.04,14.04,4,14.32,14.32,1,13.93,13.93,3,14.17,14.17,5,14.40,14.40
3,11.29,25.33,4,11.09,25.41,2,11.30,25.23,1,10.92,25.09,5,11.11,25.51
2,10.87,36.20,4,10.94,36.35,3,11.01,36.24,1,11.05,36.14,5,10.85,36.36
2,10.24,46.44,5,10.52,46.87,3,10.40,46.64,1,10.29,46.43,4,10.37,46.73
2,10.20,56.64,5,10.04,56.91,3,10.12,56.76,1,10.13,56.56,4,10.11,56.84
2,10.17,1:06.81,5,10.18,1:07.09,3,10.05,1:06.81,1,10.13,1:06.69,4,10.14,1:06.98
3,9.43,1:16.24,5,9.44,1:16.53,1,9.14,1:15.95,2,9.43,1:16.12,4,9.36,1:16.34
2,9.09,1:25.33,5,9.32,1:25.85,1,9.11,1:25.06,4,9.41,1:25.53,3,9.17,1:25.51
2,9.10,1:34.426,5,9.43,1:35.279,1,9.26,1:34.319,4,9.57,1:35.099,3,9.12,1:34.629
