GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Maurizio CARNINO POSITION,Maurizio CARNINO LAP TIME,Maurizio CARNINO ELAPSED TIME,Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
5,7.298,7.298,3,7.063,7.063,1,6.965,6.965,2,7.046,7.046,4,7.095,7.095
1,8.706,16.004,3,9.327,16.389,2,9.213,16.178,4,9.441,16.487,5,9.613,16.708
1,9.126,25.129,3,9.005,25.393,2,9.069,25.246,4,9.053,25.539,5,9.476,26.183
1,9.157,34.286,3,9.106,34.499,2,9.215,34.461,4,9.104,34.643,5,9.458,35.641
1,9.47,43.753,3,9.44,43.935,2,9.39,43.848,4,9.59,44.231,5,9.94,45.580
