ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
6,10.89,10.89,4,9.57,9.57,2,9.49,9.49,3,9.55,9.55,1,9.36,9.36,5,9.84,9.84
6,12.97,23.86,3,13.89,23.46,2,13.83,23.32,4,14.01,23.56,1,13.80,23.16,5,13.88,23.72
6,13.42,37.28,3,13.45,36.91,2,13.41,36.73,4,13.45,37.01,1,13.46,36.62,5,13.43,37.15
6,13.68,50.96,3,13.65,50.56,2,13.67,50.40,4,13.66,50.67,1,13.69,50.31,5,13.66,50.81
6,13.31,1:04.27,3,13.35,1:03.91,2,13.37,1:03.77,4,13.32,1:03.99,1,13.36,1:03.67,5,13.33,1:04.14
6,12.63,1:16.90,4,12.79,1:16.70,3,12.80,1:16.57,2,12.46,1:16.45,1,12.77,1:16.44,5,12.63,1:16.77
4,11.54,1:28.44,5,11.83,1:28.53,3,11.85,1:28.42,1,11.75,1:28.20,2,11.87,1:28.31,6,11.87,1:28.64
1,10.26,1:38.70,5,10.80,1:39.33,4,10.79,1:39.21,2,10.74,1:38.94,3,10.77,1:39.08,6,10.81,1:39.45
2,10.62,1:49.32,1,9.92,1:49.25,5,10.49,1:49.70,3,10.52,1:49.46,4,10.52,1:49.60,6,10.40,1:49.85
2,10.00,1:59.32,1,9.88,1:59.13,5,9.81,1:59.51,4,9.93,1:59.39,3,9.73,1:59.33,6,9.75,1:59.60
3,9.83,2:09.15,1,9.82,2:08.95,4,9.94,2:09.45,6,10.18,2:09.57,2,9.73,2:09.06,5,9.94,2:09.54
3,10.07,2:19.22,1,10.03,2:18.98,4,9.90,2:19.35,6,10.06,2:19.63,2,10.06,2:19.12,5,9.90,2:19.44
3,9.94,2:29.16,1,9.84,2:28.82,4,9.92,2:29.27,6,10.10,2:29.73,2,9.89,2:29.01,5,9.94,2:29.38
2,9.93,2:39.087,1,9.98,2:38.793,3,10.06,2:39.322,5,10.48,2:40.201,0,,PEN,4,10.05,2:39.427
