Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME
1,8.87,8.87,4,9.28,9.28,3,9.13,9.13,2,9.01,9.01,5,9.44,9.44,6,9.58,9.58
1,12.79,21.66,5,12.76,22.04,4,12.75,21.88,3,12.77,21.78,2,12.25,21.69,6,12.51,22.09
2,11.49,33.15,5,11.39,33.43,4,11.44,33.32,3,11.44,33.22,1,11.36,33.05,6,11.48,33.57
2,11.77,44.92,5,11.67,45.10,4,11.68,45.00,3,11.72,44.94,1,11.80,44.85,6,11.55,45.12
1,10.21,55.13,5,10.46,55.56,4,10.44,55.44,3,10.40,55.34,2,10.37,55.22,6,10.53,55.65
2,10.67,1:05.80,5,10.65,1:06.21,4,10.67,1:06.11,3,10.65,1:05.99,1,10.55,1:05.77,6,10.67,1:06.32
2,10.74,1:16.54,4,10.46,1:16.67,5,10.59,1:16.70,3,10.62,1:16.61,1,10.69,1:16.46,6,10.49,1:16.81
3,10.05,1:26.59,2,9.91,1:26.58,4,9.92,1:26.62,5,10.05,1:26.66,1,10.03,1:26.49,6,10.02,1:26.83
3,10.14,1:36.73,6,10.45,1:37.03,2,10.03,1:36.65,4,10.17,1:36.83,1,10.10,1:36.59,5,10.09,1:36.92
4,10.51,1:47.24,6,10.48,1:47.51,2,10.48,1:47.13,3,10.40,1:47.23,1,10.50,1:47.09,5,10.45,1:47.37
4,9.99,1:57.23,6,9.98,1:57.49,3,10.03,1:57.16,2,9.90,1:57.13,1,9.96,1:57.05,5,9.96,1:57.33
2,9.99,2:07.22,4,10.22,2:07.71,6,36.59,2:33.75,5,28.21,2:25.34,1,10.05,2:07.10,3,9.97,2:07.30
2,10.04,2:17.26,4,10.56,2:18.27,6,15.70,2:49.45,5,21.15,2:46.49,1,10.09,2:17.19,3,9.99,2:17.29
2,10.42,2:27.675,4,11.17,2:29.437,6,18.20,3:07.646,5,16.95,3:03.438,1,10.25,2:27.439,3,10.56,2:27.842
