Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME
3,14.44,14.44,2,14.18,14.18,1,14.17,14.17,4,14.57,14.57
3,10.11,24.56,2,10.13,24.32,1,10.05,24.22,4,10.19,24.76
2,10.19,34.75,3,10.43,34.75,1,10.20,34.42,4,10.29,35.06
4,9.93,44.68,2,9.75,44.51,1,9.97,44.39,3,9.59,44.66
2,9.29,53.98,1,9.37,53.88,4,9.74,54.14,3,9.42,54.08
4,14.51,1:08.49,1,9.20,1:03.08,2,9.36,1:03.50,3,9.97,1:04.06
4,17.27,1:25.76,1,9.63,1:12.72,2,9.62,1:13.12,3,9.85,1:13.91
4,15.16,1:40.92,1,10.06,1:22.79,2,9.71,1:22.83,3,10.26,1:24.18
0,,DQ,1,10.05,1:32.832,2,10.44,1:33.266,3,11.03,1:35.209
