Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,6.89,,3,7.15,7.15,1,6.74,6.74,4,7.25,7.25
2,8.91,,3,8.80,15.95,1,8.87,15.61,4,8.88,16.13
2,8.36,,3,8.31,24.26,1,8.39,24.00,4,8.45,24.58
4,15.54,,2,8.75,33.01,1,8.91,32.91,3,8.60,33.18
4,28.47,,3,,42.265,1,9.28,42.19,0,,PHOTO
