Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,7.00,7.00,3,7.22,7.22,2,7.11,7.11,4,7.33,7.33
1,9.18,16.18,2,9.07,16.29,3,9.26,16.37,4,9.05,16.38
1,8.51,24.69,3,8.65,24.94,2,8.43,24.80,4,8.70,25.08
2,8.67,33.36,3,8.55,33.49,1,8.47,33.27,4,8.52,33.60
2,8.82,42.180,3,8.73,42.219,1,8.81,42.073,4,8.64,42.231
