XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME
5,10.97,10.97,4,10.73,10.73,1,9.56,9.56,6,11.47,11.47,2,10.66,10.66,3,10.69,10.69
6,16.19,27.16,4,16.19,26.92,1,16.23,25.79,5,15.65,27.12,2,16.14,26.80,3,16.13,26.82
6,14.28,41.44,4,13.94,40.86,1,14.02,39.81,5,13.76,40.88,2,13.96,40.76,3,13.97,40.79
6,12.07,53.51,5,12.55,53.41,1,12.54,52.35,4,12.49,53.37,2,12.53,53.29,3,12.52,53.31
6,11.00,1:04.51,4,10.35,1:03.76,1,10.95,1:03.30,5,10.98,1:04.35,2,10.45,1:03.74,3,10.44,1:03.75
6,9.62,1:14.13,2,9.53,1:13.29,1,9.38,1:12.68,4,9.46,1:13.81,5,10.34,1:14.08,3,9.61,1:13.36
4,9.54,1:23.67,2,9.86,1:23.15,1,10.00,1:22.68,5,9.95,1:23.76,6,9.88,1:23.96,3,9.81,1:23.17
4,9.66,1:33.33,2,9.79,1:32.94,1,9.68,1:32.36,5,9.85,1:33.61,6,9.78,1:33.74,3,9.85,1:33.02
5,9.83,1:43.16,2,9.65,1:42.59,1,9.70,1:42.06,4,9.50,1:43.11,6,9.74,1:43.48,3,9.60,1:42.62
5,9.63,1:52.79,3,9.71,1:52.30,1,9.98,1:52.04,4,9.60,1:52.71,6,9.90,1:53.38,2,9.54,1:52.16
4,9.46,2:02.25,3,9.94,2:02.24,1,9.58,2:01.62,5,10.18,2:02.89,6,10.29,2:03.67,2,10.02,2:02.18
4,9.97,2:12.22,3,9.96,2:12.20,1,10.09,2:11.71,6,12.08,2:14.97,5,10.83,2:14.50,2,9.90,2:12.08
4,9.98,2:22.20,2,9.66,2:21.86,1,10.11,2:21.82,6,10.80,2:25.77,5,10.76,2:25.26,3,10.03,2:22.11
1,10.43,2:32.628,3,11.18,2:33.039,4,12.15,2:33.962,6,11.74,2:37.509,5,11.52,2:36.778,2,10.69,2:32.795
