SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME
3,9.78,9.78,4,9.97,9.97,2,9.63,9.63,1,9.41,9.41
2,13.93,23.71,4,14.04,24.01,1,13.98,23.61,3,14.46,23.87
2,13.60,37.31,4,13.77,37.78,1,13.55,37.16,3,13.61,37.48
2,11.62,48.93,4,11.35,49.13,1,11.71,48.87,3,11.58,49.06
3,14.84,1:03.77,4,14.83,1:03.96,1,14.75,1:03.62,2,14.67,1:03.73
2,15.65,1:19.42,4,15.84,1:19.80,3,15.99,1:19.61,1,15.45,1:19.18
2,15.63,1:35.05,4,15.62,1:35.42,3,15.61,1:35.22,1,15.71,1:34.89
2,14.68,1:49.73,4,14.65,1:50.07,3,14.68,1:49.90,1,14.62,1:49.51
2,14.24,2:03.97,4,14.18,2:04.25,3,14.18,2:04.08,1,14.28,2:03.79
2,13.82,2:17.79,4,13.86,2:18.11,3,13.86,2:17.94,1,13.79,2:17.58
2,13.15,2:30.94,4,13.12,2:31.23,3,13.11,2:31.05,1,13.19,2:30.77
3,11.93,2:42.87,4,11.81,2:43.04,2,11.81,2:42.86,1,11.95,2:42.72
3,9.83,2:52.70,4,9.73,2:52.77,2,9.72,2:52.58,1,9.81,2:52.53
4,,3:02.173,3,,3:02.164,2,9.50,3:02.073,1,9.49,3:02.019
