Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME
3,15.05,15.05,4,15.26,15.26,1,14.87,14.87,2,14.97,14.97
3,12.44,27.49,4,12.37,27.63,2,12.53,27.40,1,12.40,27.37
1,10.33,37.82,4,10.67,38.30,3,10.64,38.04,2,10.54,37.91
2,9.94,47.76,4,9.73,48.03,3,9.83,47.87,1,9.71,47.62
2,9.79,57.55,4,9.72,57.75,3,9.78,57.65,1,9.84,57.46
2,9.84,1:07.39,4,9.87,1:07.62,3,9.84,1:07.49,1,9.82,1:07.28
2,9.81,1:17.20,4,9.80,1:17.42,3,9.78,1:17.27,1,9.84,1:17.12
3,10.07,1:27.27,1,9.71,1:27.13,4,10.08,1:27.35,2,10.01,1:27.13
3,9.99,1:37.253,1,9.90,1:37.027,4,9.99,1:37.337,2,10.05,1:37.176
