HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME
1,13.10,13.10,4,13.47,13.47,2,13.21,13.21,5,13.58,13.58,3,13.34,13.34
1,10.08,23.18,4,10.05,23.52,2,10.07,23.28,5,10.07,23.65,3,10.03,23.37
3,9.77,32.95,1,9.41,32.93,2,9.66,32.94,5,9.64,33.29,4,9.77,33.14
2,9.49,42.44,1,9.47,42.40,3,9.53,42.47,5,9.37,42.66,4,9.40,42.54
1,8.85,51.29,3,9.10,51.50,2,9.02,51.49,5,9.31,51.97,4,9.24,51.78
1,8.95,1:00.24,3,8.94,1:00.44,2,8.86,1:00.35,5,8.75,1:00.72,4,8.73,1:00.51
1,8.99,1:09.23,3,8.99,1:09.43,2,9.00,1:09.35,4,8.82,1:09.54,5,9.22,1:09.73
1,9.15,1:18.38,2,9.07,1:18.50,5,9.69,1:19.04,3,9.03,1:18.57,4,9.08,1:18.81
0,,PHOTO,0,,PHOTO,5,10.31,1:29.331,3,9.41,1:27.955,4,9.25,1:28.035
