DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME
4,11.36,11.36,6,11.70,11.70,5,11.55,11.55,1,10.84,10.84,2,10.98,10.98,3,11.19,11.19,7,11.82,11.82
4,16.61,27.97,6,16.60,28.30,5,16.62,28.17,1,16.57,27.41,2,16.57,27.55,3,16.57,27.76,7,16.77,28.59
5,14.71,42.68,6,14.56,42.86,4,14.36,42.53,1,14.84,42.25,2,14.81,42.36,3,14.76,42.52,7,14.40,42.99
5,13.41,56.09,6,13.35,56.21,3,13.32,55.85,1,13.42,55.67,2,13.38,55.74,4,13.46,55.98,7,13.35,56.34
5,13.20,1:09.29,6,13.23,1:09.44,4,13.31,1:09.16,1,13.25,1:08.92,3,13.27,1:09.01,2,13.02,1:09.00,7,13.22,1:09.56
5,11.39,1:20.68,6,11.38,1:20.82,4,11.49,1:20.65,2,11.65,1:20.57,3,11.57,1:20.58,1,11.50,1:20.50,7,11.38,1:20.94
3,9.86,1:30.54,1,9.34,1:30.16,6,10.28,1:30.93,2,9.88,1:30.45,5,10.21,1:30.79,4,10.15,1:30.65,7,10.11,1:31.05
3,9.35,1:39.89,1,9.55,1:39.71,6,9.25,1:40.18,2,9.28,1:39.73,5,9.28,1:40.07,4,9.34,1:39.99,7,9.21,1:40.26
3,9.13,1:49.02,2,9.19,1:48.90,6,9.13,1:49.31,1,8.83,1:48.56,5,9.12,1:49.19,4,9.09,1:49.08,7,9.16,1:49.42
4,8.81,1:57.83,2,8.74,1:57.64,6,8.77,1:58.08,1,8.76,1:57.32,5,8.76,1:57.95,3,8.60,1:57.68,7,8.82,1:58.24
3,8.43,2:06.26,4,8.80,2:06.44,6,8.51,2:06.59,1,8.74,2:06.06,5,8.58,2:06.53,2,8.47,2:06.15,7,8.58,2:06.82
3,8.67,2:14.93,5,8.89,2:15.33,6,8.75,2:15.34,2,8.72,2:14.78,4,8.65,2:15.18,1,8.56,2:14.71,7,8.63,2:15.45
3,8.81,2:23.74,7,9.24,2:24.57,4,8.55,2:23.89,2,8.83,2:23.61,5,8.84,2:24.02,1,8.65,2:23.36,6,8.80,2:24.25
3,8.96,2:32.700,7,9.89,2:34.464,4,8.82,2:32.718,2,8.92,2:32.535,5,8.96,2:32.984,1,8.78,2:32.14,6,9.03,2:33.283
