CHO Nam-Kyu POSITION,CHO Nam-Kyu LAP TIME,CHO Nam-Kyu ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,MA Yunfeng POSITION,MA Yunfeng LAP TIME,MA Yunfeng ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
0,9.006,9.006,0,9.062,9.062,0,8.834,8.834,0,8.996,8.996,0,8.886,8.886,0,9.525,9.525,0,8.846,8.846
0,11.983,20.989,0,11.656,20.718,0,11.996,20.830,0,12.147,21.143,0,24.433,33.318,0,13.222,22.747,0,11.763,20.609
0,12.491,33.480,0,12.275,32.994,0,12.295,33.125,0,12.328,33.471,0,,,0,9.860,32.607,0,12.249,32.858
0,11.889,45.369,0,12.005,44.999,0,12.069,45.194,0,11.983,45.454,0,,45.131,0,12.860,45.466,0,12.208,45.065
0,10.518,55.887,0,10.665,55.664,0,10.374,55.567,0,10.534,55.988,0,10.408,55.539,0,9.620,55.087,0,10.683,55.748
0,9.200,1:05.087,0,9.708,1:05.372,0,9.673,1:05.240,0,9.663,1:05.651,0,9.672,1:05.211,0,9.923,1:05.010,0,9.730,1:05.478
0,10.016,1:15.103,0,10.083,1:15.455,0,10.070,1:15.310,0,10.021,1:15.672,0,10.093,1:15.303,0,10.072,1:15.082,0,10.091,1:15.569
0,9.942,1:25.045,0,10.091,1:25.546,0,9.984,1:25.294,0,9.790,1:25.462,0,9.872,1:25.176,0,10.035,1:25.116,0,10.056,1:25.625
0,9.994,1:35.039,0,9.684,1:35.230,0,9.670,1:34.963,0,9.674,1:35.136,0,9.790,1:34.965,0,9.663,1:34.779,0,9.589,1:35.214
0,9.912,1:44.951,0,9.683,1:44.913,0,9.704,1:44.668,0,9.618,1:44.753,0,9.447,1:44.412,0,9.956,1:44.735,0,9.758,1:44.972
0,9.326,1:54.277,0,9.895,1:54.809,0,9.948,1:54.615,0,9.935,1:54.688,0,10.028,1:54.441,0,9.494,1:54.229,0,9.801,1:54.772
0,10.029,2:04.306,0,9.534,2:04.343,0,9.421,2:04.036,0,9.622,2:04.310,0,9.606,2:04.047,0,9.723,2:03.952,0,9.703,2:04.475
0,9.221,2:13.527,0,9.373,2:13.715,0,9.369,2:13.405,0,10.273,2:14.583,0,9.653,2:13.700,0,9.308,2:13.260,0,9.794,2:14.268
0,,,0,,,0,,,0,,,0,,,0,,,0,,
