BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Alison DESMARAIS POSITION,Alison DESMARAIS LAP TIME,Alison DESMARAIS ELAPSED TIME
3,7.73,7.73,1,7.39,7.39,4,7.79,7.79,2,7.53,7.53
3,9.72,17.45,1,9.47,16.86,4,9.74,17.53,2,9.44,16.97
4,9.03,26.48,1,9.07,25.93,3,8.93,26.46,2,9.07,26.04
4,9.24,35.72,1,9.02,34.95,3,8.99,35.45,2,9.01,35.05
4,9.57,45.29,1,9.26,44.21,3,9.00,44.45,2,9.29,44.34
