Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
2,10.65,10.65,1,10.55,10.55,4,10.76,10.76,5,10.97,10.97,3,10.74,10.74,6,11.15,11.15
1,14.81,25.46,3,15.02,25.57,4,14.86,25.62,5,14.78,25.75,2,14.74,25.48,6,14.76,25.91
2,13.15,38.61,3,13.17,38.74,4,13.27,38.89,6,13.30,39.05,1,13.01,38.49,5,13.01,38.92
3,11.72,50.33,4,11.72,50.46,5,11.68,50.57,6,11.65,50.70,2,11.68,50.17,1,11.10,50.02
3,11.29,1:01.62,4,11.28,1:01.74,5,11.27,1:01.84,6,11.34,1:02.04,2,11.44,1:01.61,1,11.49,1:01.51
1,10.20,1:11.82,4,10.41,1:12.15,3,10.21,1:12.05,5,10.13,1:12.17,2,10.31,1:11.92,6,10.75,1:12.26
2,10.41,1:22.23,1,10.04,1:22.19,4,10.44,1:22.49,5,10.47,1:22.64,3,10.44,1:22.36,6,10.46,1:22.72
2,10.15,1:32.38,1,10.13,1:32.32,4,10.06,1:32.55,5,10.02,1:32.66,3,10.12,1:32.48,6,10.14,1:32.86
1,10.33,1:42.71,2,10.55,1:42.87,4,10.50,1:43.05,5,10.47,1:43.13,3,10.48,1:42.96,6,10.39,1:43.25
1,9.91,1:52.62,2,9.86,1:52.73,4,9.90,1:52.95,5,9.94,1:53.07,3,9.89,1:52.85,6,10.17,1:53.42
1,9.80,2:02.42,2,9.80,2:02.53,4,9.82,2:02.77,5,9.83,2:02.90,3,9.82,2:02.67,6,10.38,2:03.80
1,9.67,2:12.09,2,9.74,2:12.27,4,9.76,2:12.53,5,9.78,2:12.68,3,9.77,2:12.44,6,11.40,2:15.20
1,9.78,2:21.87,2,10.00,2:22.27,4,9.96,2:22.49,5,9.86,2:22.54,3,9.96,2:22.40,6,12.32,2:27.52
1,10.10,2:31.969,4,10.62,2:32.886,3,10.37,2:32.854,2,9.70,2:32.232,5,10.70,2:33.092,6,13.12,2:40.631
