Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME
1,8.78,8.78,2,8.92,8.92,4,9.22,9.22,5,9.31,9.31,3,9.05,9.05
1,12.74,21.52,2,12.69,21.61,3,12.50,21.72,4,12.49,21.80,5,12.79,21.84
1,12.08,33.60,2,12.10,33.71,4,12.11,33.83,5,12.12,33.92,3,11.91,33.75
2,11.14,44.74,1,10.99,44.70,4,10.97,44.80,5,11.09,45.01,2,10.99,44.74
3,10.61,55.35,1,10.55,55.25,1,10.45,55.25,4,10.50,55.51,5,10.89,55.63
3,10.52,1:05.87,1,10.50,1:05.75,2,10.55,1:05.80,4,10.47,1:05.98,5,10.46,1:06.09
2,10.17,1:16.04,1,10.16,1:15.91,4,10.44,1:16.24,3,10.15,1:16.13,5,10.33,1:16.42
3,9.87,1:25.91,1,9.91,1:25.82,4,9.85,1:26.09,2,9.77,1:25.90,5,9.83,1:26.25
3,9.76,1:35.67,1,9.62,1:35.44,4,9.65,1:35.74,2,9.65,1:35.55,5,9.64,1:35.89
3,9.21,1:44.88,1,9.32,1:44.76,4,9.27,1:45.01,2,9.22,1:44.77,5,9.43,1:45.32
3,9.08,1:53.96,1,9.01,1:53.77,4,9.07,1:54.08,2,9.09,1:53.86,5,9.50,1:54.82
3,9.09,2:03.05,1,9.03,2:02.80,4,9.06,2:03.14,2,9.03,2:02.89,5,9.67,2:04.49
3,9.17,2:12.22,1,8.89,2:11.69,4,9.18,2:12.32,2,8.89,2:11.78,5,10.11,2:14.60
3,9.30,2:21.52,1,9.02,2:20.71,4,10.09,2:22.41,2,9.03,2:20.81,5,10.57,2:25.17
