LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
1,12.66,12.66,2,12.67,12.67,3,13.01,13.01,4,13.36,13.36
1,10.19,22.85,2,10.19,22.86,3,10.09,23.10,4,9.94,23.30
2,9.64,32.49,1,9.58,32.44,3,9.50,32.60,4,9.45,32.75
2,8.96,41.45,3,9.26,41.70,1,8.78,41.38,4,8.96,41.71
2,9.05,50.50,3,9.00,50.70,1,9.10,50.48,4,9.23,50.94
1,8.96,59.46,3,8.98,59.68,2,9.03,59.51,4,8.94,59.88
1,8.87,1:08.33,3,8.90,1:08.58,2,8.91,1:08.42,4,8.92,1:08.80
2,8.99,1:17.32,3,8.91,1:17.49,1,8.83,1:17.25,4,8.97,1:17.77
2,9.17,1:26.485,3,9.33,1:26.814,1,9.16,1:26.410,4,9.24,1:27.010
