Jonathan SERMENO POSITION,Jonathan SERMENO LAP TIME,Jonathan SERMENO ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,6.96,6.96,1,6.94,6.94,3,7.19,7.19,4,7.59,7.59
2,9.48,16.45,1,9.44,16.39,3,9.39,16.58,4,9.29,16.88
1,8.87,25.33,3,9.19,25.59,2,8.94,25.53,4,9.02,25.90
1,9.09,34.42,4,9.49,35.08,2,9.20,34.74,3,9.16,35.07
1,9.50,43.920,4,9.77,44.846,3,9.57,44.305,2,8.87,43.940
