Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
6,9.240,9.240,2,8.590,8.590,4,8.840,8.840,3,8.840,8.840,1,8.550,8.550,5,9.110,9.110
6,12.580,21.820,2,12.740,21.330,4,12.680,21.520,3,12.620,21.460,1,12.670,21.220,5,12.670,21.780
5,12.620,34.450,2,12.550,33.890,3,12.580,34.110,4,12.680,34.140,1,12.650,33.880,6,12.680,34.470
5,12.750,47.200,2,12.910,46.800,3,12.920,47.040,4,12.970,47.120,1,12.900,46.780,6,12.850,47.330
5,13.300,1:00.510,1,13.170,59.970,3,13.210,1:00.250,4,13.200,1:00.330,2,13.220,1:00.000,6,13.270,1:00.600
5,12.450,1:12.960,3,12.600,1:12.570,1,12.060,1:12.320,4,12.410,1:12.740,2,12.450,1:12.460,6,12.390,1:13.000
6,11.270,1:24.240,1,11.110,1:23.690,2,11.470,1:23.800,4,11.290,1:24.040,3,11.410,1:23.870,5,11.210,1:24.220
5,10.790,1:35.030,1,10.850,1:34.550,2,10.830,1:34.630,4,10.880,1:34.920,3,10.820,1:34.690,6,10.840,1:35.060
5,10.200,1:45.240,1,10.250,1:44.810,2,10.200,1:44.830,4,10.230,1:45.160,3,10.320,1:45.010,6,10.270,1:45.340
5,9.810,1:55.050,3,10.050,1:54.860,1,9.950,1:54.790,4,9.820,1:54.990,2,9.830,1:54.850,6,9.840,1:55.180
5,9.810,2:04.860,2,9.620,2:04.480,3,9.770,2:04.560,4,9.830,2:04.820,1,9.470,2:04.320,6,9.680,2:04.870
6,19.260,2:24.120,2,9.640,2:14.130,3,9.750,2:14.320,4,9.640,2:14.460,1,9.710,2:14.030,5,9.720,2:14.590
6,22.680,2:46.800,1,9.710,2:23.840,4,10.250,2:24.570,3,9.850,2:24.320,2,9.850,2:23.890,5,10.010,2:24.610
6,12.320,2:59.130,2,9.890,2:33.740,5,10.990,2:35.560,4,10.440,2:34.760,1,9.820,2:33.710,3,10.060,2:34.670
