Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
0,8.208,8.208,0,8.235,8.235,0,8.115,8.115,0,8.255,8.255,0,7.953,7.953,0,8.466,8.466
0,10.616,18.824,0,10.502,18.736,0,10.572,18.687,0,10.315,18.569,0,10.456,18.409,0,10.594,19.059
0,10.724,29.548,0,10.852,29.589,0,10.828,29.515,0,,,0,10.728,29.137,0,10.708,29.767
0,9.570,39.118,0,10.084,39.673,0,9.723,39.237,0,,37.347,0,10.263,39.399,0,10.036,39.803
0,9.791,48.909,0,9.625,49.298,0,9.753,48.990,0,12.106,49.453,0,9.766,49.166,0,9.734,49.536
0,9.737,58.645,0,9.609,58.907,0,9.787,58.777,0,9.571,59.024,0,9.668,58.834,0,9.671,59.207
0,9.649,1:08.294,0,9.721,1:08.628,0,9.684,1:08.461,0,9.489,1:08.512,0,9.644,1:08.478,0,9.529,1:08.735
0,9.725,1:18.019,0,9.807,1:18.434,0,9.687,1:18.148,0,9.457,1:17.970,0,9.709,1:18.187,0,9.797,1:18.533
0,9.842,1:27.861,0,9.681,1:28.115,0,9.787,1:27.935,0,9.887,1:27.857,0,9.756,1:27.943,0,9.813,1:28.345
0,9.863,1:37.724,0,9.983,1:38.098,0,9.803,1:37.738,0,9.945,1:37.802,0,9.909,1:37.851,0,10.153,1:38.498
0,9.788,1:47.512,0,9.890,1:47.987,0,9.723,1:47.461,0,9.921,1:47.723,0,10.003,1:47.855,0,10.461,1:48.959
0,10.062,1:57.574,0,9.445,1:57.432,0,9.619,1:57.080,0,9.638,1:57.361,0,10.206,1:58.060,0,11.281,2:00.240
0,10.083,2:07.658,0,9.568,2:07.000,0,9.693,2:06.772,0,9.727,2:07.088,0,10.487,2:08.547,0,11.573,2:11.813
0,10.627,2:18.285,0,9.709,2:16.709,0,,,0,10.137,2:17.225,0,11.113,2:19.660,0,11.930,2:23.743
