Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
3,12.37,12.37,4,12.50,12.50,1,12.31,12.31,2,12.35,12.35
1,9.63,22.00,4,9.72,22.22,2,9.70,22.01,3,9.73,22.08
1,9.57,31.57,4,9.52,31.74,2,9.67,31.68,3,9.64,31.72
1,9.88,41.45,3,15.72,47.46,4,16.99,48.67,2,9.96,41.68
1,10.70,52.15,3,10.03,57.49,4,11.44,1:00.11,2,10.64,52.32
1,10.64,1:02.79,3,10.26,1:07.75,4,12.12,1:12.23,2,10.57,1:02.89
1,10.36,1:13.15,3,11.05,1:18.80,4,11.90,1:24.13,2,10.45,1:13.34
1,10.08,1:23.23,3,12.04,1:30.84,4,11.12,1:35.25,2,10.18,1:23.52
1,9.82,1:33.046,0,,PEN,3,11.59,1:46.834,2,10.57,1:34.083
