Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME
3,9.29,9.29,5,9.52,9.52,2,9.23,9.23,4,9.47,9.47,1,9.22,9.22
3,13.41,22.70,5,13.53,23.05,2,13.43,22.66,4,13.46,22.93,1,13.31,22.53
4,13.33,36.03,5,13.17,36.22,2,13.29,35.95,3,13.09,36.02,1,13.30,35.83
4,12.41,48.44,5,12.42,48.64,3,12.35,48.30,1,12.14,48.16,2,12.43,48.26
4,11.78,1:00.22,5,11.81,1:00.45,2,11.74,1:00.04,1,11.75,59.91,3,11.89,1:00.15
4,11.73,1:11.95,5,11.55,1:12.00,2,11.72,1:11.76,1,11.73,1:11.64,3,11.72,1:11.87
2,10.15,1:22.10,1,9.99,1:21.99,4,10.44,1:22.20,3,10.47,1:22.11,5,10.50,1:22.37
1,9.55,1:31.65,3,10.01,1:32.00,2,9.65,1:31.85,4,10.02,1:32.13,5,9.95,1:32.32
1,9.73,1:41.38,3,9.60,1:41.60,2,9.65,1:41.50,4,9.71,1:41.84,5,9.94,1:42.26
1,9.82,1:51.20,3,9.82,1:51.42,2,9.82,1:51.32,4,9.68,1:51.52,5,10.74,1:53.00
1,9.77,2:00.97,3,9.87,2:01.29,2,9.84,2:01.16,4,9.85,2:01.37,5,11.57,2:04.57
1,9.74,2:10.71,3,9.60,2:10.89,2,9.71,2:10.87,4,9.74,2:11.11,5,11.72,2:16.29
1,9.74,2:20.45,3,9.99,2:20.88,4,10.22,2:21.09,2,9.69,2:20.80,5,12.27,2:28.56
1,10.02,2:30.467,0,,PEN,3,10.40,2:31.490,2,9.99,2:30.784,4,12.61,2:41.161
