Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
3,13.48,13.48,2,13.32,13.32,5,13.78,13.78,1,13.32,13.32,4,13.59,13.59
5,10.03,23.51,2,9.97,23.29,4,9.69,23.47,1,9.87,23.19,3,9.80,23.39
4,9.99,33.50,2,10.06,33.35,5,10.29,33.76,3,10.23,33.42,1,9.89,33.28
4,10.09,43.59,2,10.00,43.35,5,10.05,43.81,3,9.94,43.36,1,10.05,43.33
4,9.42,53.01,2,9.47,52.82,5,9.31,53.12,1,9.36,52.72,3,9.57,52.90
4,9.40,1:02.41,2,9.31,1:02.13,5,9.41,1:02.53,1,9.29,1:02.01,3,9.34,1:02.24
5,9.55,1:11.96,1,8.99,1:11.12,4,9.06,1:11.59,2,9.23,1:11.24,3,9.08,1:11.32
5,9.65,1:21.61,1,8.91,1:20.03,4,9.17,1:20.76,3,9.17,1:20.41,2,9.07,1:20.39
4,9.94,1:31.545,1,9.25,1:29.276,0,,PEN,3,9.38,1:29.781,2,9.30,1:29.690
