Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
1,6.76,6.76,4,7.17,7.17,3,7.14,7.14,2,7.03,7.03
1,9.22,15.98,4,9.40,16.57,3,9.29,16.43,2,9.16,16.19
1,8.82,24.80,4,8.57,25.14,3,8.60,25.03,2,8.70,24.89
4,9.32,34.12,3,8.82,33.96,1,8.76,33.79,2,9.05,33.94
3,9.19,43.302,4,9.54,43.498,1,9.02,42.803,2,9.18,43.114
