Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Munkhamidral GANBAT POSITION,Munkhamidral GANBAT LAP TIME,Munkhamidral GANBAT ELAPSED TIME
2,7.37,7.37,1,7.09,7.09,3,7.52,7.52,4,7.66,7.66
2,9.24,16.61,1,9.26,16.35,3,9.27,16.79,4,9.62,17.28
1,8.79,25.40,2,9.09,25.44,3,8.84,25.63,4,9.29,26.57
1,8.96,34.36,2,9.11,34.55,3,9.02,34.65,4,9.54,36.11
1,9.22,43.579,2,9.27,43.814,3,9.27,43.917,4,9.85,45.953
