Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
4,8.980,8.980,3,8.979,8.979,1,8.670,8.670,5,9.234,9.234,2,8.953,8.953
4,12.552,21.532,3,12.491,21.470,1,12.424,21.094,5,12.592,21.825,2,12.244,21.197
4,12.318,33.849,3,12.240,33.709,1,12.311,33.404,5,12.089,33.914,2,12.336,33.533
4,12.238,46.087,3,12.183,45.892,1,12.080,45.484,5,12.217,46.131,2,12.027,45.560
5,11.928,58.014,3,11.937,57.828,1,12.090,57.573,4,11.827,57.957,2,12.018,57.578
4,11.470,1:09.484,3,11.563,1:09.391,1,11.581,1:09.154,5,11.625,1:09.582,2,11.620,1:09.198
2,10.502,1:19.985,5,10.765,1:20.156,3,10.954,1:20.108,4,10.531,1:20.112,1,10.644,1:19.842
1,10.034,1:30.019,5,10.433,1:30.588,3,10.256,1:30.363,4,10.450,1:30.561,2,10.356,1:30.197
1,10.113,1:40.131,5,10.035,1:40.623,3,9.888,1:40.250,4,10.031,1:40.592,2,10.044,1:40.240
1,9.649,1:49.780,5,9.679,1:50.302,2,9.791,1:50.041,4,9.678,1:50.269,3,9.822,1:50.062
3,9.750,1:59.529,5,9.632,1:59.933,1,9.463,1:59.503,4,9.602,1:59.870,2,9.462,1:59.523
3,9.589,2:09.117,5,9.687,2:09.619,2,9.485,2:08.988,4,9.527,2:09.397,1,9.465,2:08.987
3,9.768,2:18.885,5,9.714,2:19.332,1,9.533,2:18.521,4,9.541,2:18.938,2,9.614,2:18.601
3,10.05,2:28.928,5,9.79,2:29.119,1,10.17,2:28.685,4,10.12,2:29.051,2,10.21,2:28.810
