Karyna HRYSCHANKA POSITION,Karyna HRYSCHANKA LAP TIME,Karyna HRYSCHANKA ELAPSED TIME,Maria ORLOVA POSITION,Maria ORLOVA LAP TIME,Maria ORLOVA ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME
6,9.37,9.37,3,9.21,9.21,4,9.24,9.24,1,9.07,9.07,2,9.10,9.10,5,9.35,9.35
6,11.80,21.17,3,11.54,20.75,4,11.66,20.90,1,11.51,20.58,2,11.56,20.66,5,11.67,21.02
6,11.10,32.27,3,11.13,31.88,4,11.11,32.01,1,11.09,31.67,2,11.13,31.79,5,11.12,32.14
6,11.04,43.31,3,11.09,42.97,4,11.06,43.07,1,11.13,42.80,2,11.11,42.90,5,11.07,43.21
6,11.27,54.58,4,11.39,54.36,5,11.34,54.41,1,11.38,54.18,2,11.36,54.26,3,11.08,54.29
6,10.84,1:05.42,4,10.79,1:05.15,5,10.82,1:05.23,2,10.80,1:04.98,3,10.82,1:05.08,1,10.58,1:04.87
6,11.18,1:16.60,4,11.22,1:16.37,5,11.25,1:16.48,2,11.16,1:16.14,3,11.17,1:16.25,1,11.14,1:16.01
6,11.10,1:27.70,5,11.09,1:27.46,4,10.94,1:27.42,2,11.10,1:27.24,3,11.11,1:27.36,1,11.10,1:27.11
6,11.12,1:38.82,5,10.19,1:37.65,1,9.72,1:37.14,3,10.24,1:37.48,4,10.22,1:37.58,2,10.25,1:37.36
6,11.55,1:50.37,4,9.72,1:47.37,1,9.81,1:46.95,3,9.79,1:47.27,5,10.00,1:47.58,2,9.81,1:47.17
6,12.37,2:02.74,4,9.99,1:57.36,1,9.93,1:56.88,3,9.99,1:57.26,5,10.14,1:57.72,2,10.01,1:57.18
6,13.44,2:16.18,4,10.00,2:07.36,1,10.01,2:06.89,3,9.99,2:07.25,5,10.47,2:08.19,2,9.95,2:07.13
6,14.44,2:30.62,4,10.12,2:17.48,1,10.12,2:17.01,3,10.09,2:17.34,5,11.26,2:19.45,2,10.09,2:17.22
6,13.83,2:44.447,4,10.22,2:27.694,1,10.28,2:27.283,3,10.20,2:27.539,5,12.09,2:31.539,2,10.20,2:27.418
