VIGANTS Endijs POSITION,VIGANTS Endijs LAP TIME,VIGANTS Endijs ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
3,9.23,9.23,5,9.46,,2,9.09,9.09,6,9.56,9.56,1,8.98,,4,9.37,9.37
3,11.32,20.55,6,11.40,,2,11.35,20.44,5,11.23,20.79,1,11.36,,4,11.30,20.67
3,10.83,31.38,6,10.86,,2,10.83,31.27,5,10.80,31.59,1,10.81,,4,10.81,31.48
4,11.08,42.46,6,11.02,,2,11.10,42.37,3,10.86,42.45,1,11.14,,5,11.17,42.65
6,11.04,53.50,5,10.57,,4,10.87,53.24,3,10.74,53.19,1,10.76,,2,10.49,53.14
6,9.75,1:03.25,5,9.88,,3,9.68,1:02.92,4,9.84,1:03.03,2,9.80,,1,9.70,1:02.84
6,9.43,1:12.68,4,9.26,,1,9.17,1:12.09,5,9.43,1:12.46,3,9.49,,2,9.42,1:12.26
6,9.49,1:22.17,4,9.39,,1,9.43,1:21.52,5,9.51,1:21.97,3,9.41,,2,9.37,1:21.63
6,9.38,1:31.55,4,9.35,,1,9.38,1:30.90,5,9.38,1:31.35,3,9.33,,2,9.37,1:31.00
6,9.64,1:41.19,4,9.30,,1,9.32,1:40.22,5,9.30,1:40.65,3,9.37,,2,9.33,1:40.33
6,10.05,1:51.24,2,9.18,,1,9.37,1:49.59,5,9.36,1:50.01,4,9.38,,3,9.44,1:49.77
6,10.70,2:01.94,2,9.67,,5,10.05,1:59.64,4,9.61,1:59.62,3,9.68,,1,9.49,1:59.26
6,11.53,2:13.47,2,9.76,,5,10.04,2:09.68,4,9.80,2:09.42,3,9.87,,1,9.49,2:08.75
6,12.25,2:25.72,2,9.99,,5,10.58,2:20.26,4,10.35,2:19.77,3,10.20,,1,9.59,2:18.34
