Mak KRSTIC POSITION,Mak KRSTIC LAP TIME,Mak KRSTIC ELAPSED TIME,Petko DAPCHEV POSITION,Petko DAPCHEV LAP TIME,Petko DAPCHEV ELAPSED TIME,Stefan-Teodor FRIGHENCIU POSITION,Stefan-Teodor FRIGHENCIU LAP TIME,Stefan-Teodor FRIGHENCIU ELAPSED TIME,Bora BAKA POSITION,Bora BAKA LAP TIME,Bora BAKA ELAPSED TIME
3,14.25,14.25,2,14.16,14.16,4,14.47,14.47,1,13.79,13.79
3,10.60,24.85,2,10.62,24.78,4,10.53,25.00,1,10.41,24.20
2,10.41,35.26,3,10.66,35.44,4,10.64,35.64,1,10.40,34.60
2,10.54,45.80,3,10.65,46.09,4,10.52,46.16,1,10.75,45.35
2,10.93,56.73,3,10.77,56.86,4,10.82,56.98,1,11.29,56.64
3,11.63,1:08.36,1,11.25,1:08.11,2,11.26,1:08.24,4,12.27,1:08.91
2,11.44,1:19.80,1,11.29,1:19.40,4,18.52,1:26.76,3,13.38,1:22.29
2,11.40,1:31.20,1,11.62,1:31.02,4,26.67,1:53.43,3,14.42,1:36.71
2,11.39,1:42.573,1,11.48,1:42.474,4,13.93,2:07.335,3,15.18,1:51.857
