Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
1,9.91,9.91,3,10.11,10.11,5,10.44,10.44,2,10.01,10.01,4,10.32,10.32,6,10.57,10.57
3,14.83,24.74,4,14.76,24.87,2,14.24,24.68,1,14.56,24.57,5,14.73,25.05,6,14.62,25.19
3,12.21,36.95,4,12.22,37.09,1,12.05,36.73,2,12.27,36.84,5,12.20,37.25,6,12.16,37.35
3,11.76,48.71,4,11.73,48.82,1,11.73,48.46,2,11.73,48.57,5,11.72,48.97,6,11.74,49.09
3,11.37,1:00.08,4,11.36,1:00.18,1,11.42,59.88,2,11.42,59.99,6,11.35,1:00.32,5,11.14,1:00.23
5,10.54,1:10.62,4,10.29,1:10.47,3,10.51,1:10.39,2,10.26,1:10.25,6,10.37,1:10.69,1,9.82,1:10.05
4,9.56,1:20.18,5,9.78,1:20.25,3,9.72,1:20.11,2,9.79,1:20.04,6,9.66,1:20.35,1,9.88,1:19.93
4,9.99,1:30.17,5,10.00,1:30.25,3,9.94,1:30.05,2,9.89,1:29.93,6,10.01,1:30.36,1,9.89,1:29.82
4,9.97,1:40.14,5,10.00,1:40.25,3,9.98,1:40.03,2,9.93,1:39.86,6,10.00,1:40.36,1,9.93,1:39.75
3,9.42,1:49.56,5,9.52,1:49.77,4,9.63,1:49.66,2,9.62,1:49.48,6,9.54,1:49.90,1,9.61,1:49.36
3,9.37,1:58.93,5,9.36,1:59.13,4,9.35,1:59.01,2,9.35,1:58.83,6,9.37,1:59.27,1,9.39,1:58.75
3,8.96,2:07.89,5,8.96,2:08.09,4,9.01,2:08.02,1,8.83,2:07.66,6,9.00,2:08.27,2,9.13,2:07.88
3,9.01,2:16.90,4,8.88,2:16.97,2,8.85,2:16.87,1,8.96,2:16.62,6,9.11,2:17.38,5,9.47,2:17.35
4,9.49,2:26.386,3,9.07,2:26.037,1,8.64,2:25.510,2,9.13,2:25.746,5,9.20,2:26.576,6,10.84,2:28.188
