Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
1,12.05,12.05,4,12.39,12.39,3,12.26,12.26,2,12.16,12.16,5,12.57,12.57
2,9.23,21.28,4,9.02,21.41,3,9.11,21.37,1,9.02,21.18,5,9.05,21.62
2,8.84,30.12,4,8.90,30.31,3,8.84,30.21,1,8.87,30.05,5,8.70,30.32
2,8.86,38.98,5,8.99,39.30,3,8.87,39.08,1,8.86,38.91,4,8.88,39.20
1,8.66,47.64,5,8.86,48.16,3,8.78,47.86,2,8.87,47.78,4,8.82,48.02
1,8.66,56.30,5,8.60,56.76,4,8.77,56.63,2,8.74,56.52,3,8.53,56.55
1,8.68,1:04.98,5,9.07,1:05.83,4,8.94,1:05.57,3,8.86,1:05.38,2,8.75,1:05.30
1,8.91,1:13.89,5,10.38,1:16.21,4,8.93,1:14.50,2,8.83,1:14.21,3,9.02,1:14.32
1,9.14,1:23.03,5,10.86,1:27.043,4,9.29,1:23.79,2,9.18,1:23.39,3,9.22,1:23.54
