Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Dries CELIS POSITION,Dries CELIS LAP TIME,Dries CELIS ELAPSED TIME,Subodh Balavant PATIL POSITION,Subodh Balavant PATIL LAP TIME,Subodh Balavant PATIL ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME
2,8.233,8.233,1,8.095,8.095,3,8.321,8.321,5,8.726,8.726,4,8.374,8.374
3,12.322,20.555,1,12.223,20.318,5,12.646,20.966,4,12.091,20.817,2,12.069,20.442
2,12.246,32.801,1,12.454,32.771,4,12.061,33.026,5,12.299,33.116,3,12.362,32.803
2,11.010,43.810,1,10.982,43.752,5,11.568,44.594,4,10.921,44.037,3,11.157,43.960
2,11.170,54.980,1,11.210,54.962,5,11.082,55.675,4,11.232,55.268,3,11.226,55.185
2,12.004,1:06.983,1,11.943,1:06.905,5,11.639,1:07.313,4,12.023,1:07.291,3,11.808,1:06.993
2,11.136,1:18.119,3,11.273,1:18.177,5,11.570,1:18.883,4,11.031,1:18.322,1,11.006,1:17.998
1,10.298,1:28.417,3,10.285,1:28.462,5,11.693,1:30.575,2,10.127,1:28.448,4,10.530,1:28.527
2,9.749,1:38.165,4,9.831,1:38.293,5,11.919,1:42.494,1,9.699,1:38.146,3,9.723,1:38.250
2,10.090,1:48.255,4,10.128,1:48.421,5,12.203,1:54.696,1,10.093,1:48.239,3,10.098,1:48.348
1,10.083,1:58.337,4,10.140,1:58.561,5,12.604,2:07.300,3,10.208,1:58.446,2,10.092,1:58.439
1,9.850,2:08.186,3,9.651,2:08.211,5,12.981,2:20.280,4,9.828,2:08.274,2,9.767,2:08.205
1,9.410,2:17.595,4,9.735,2:17.946,5,12.794,2:33.073,2,9.596,2:17.870,3,9.695,2:17.900
2,9.71,2:27.298,4,9.79,2:27.735,5,13.37,2:46.442,1,9.27,2:27.136,3,9.70,2:27.593
