THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME
3,13.65,13.65,2,13.49,13.49,1,13.40,13.40,4,13.76,13.76
4,10.67,24.32,3,10.71,24.20,2,10.60,24.00,1,10.04,23.80
4,9.70,34.02,3,9.71,33.91,2,9.75,33.75,1,9.92,33.72
4,9.74,43.76,3,9.72,43.63,1,9.65,43.40,2,9.78,43.50
4,9.80,53.56,2,9.69,53.32,1,9.78,53.18,3,9.98,53.48
4,9.88,1:03.44,2,9.81,1:03.13,1,9.87,1:03.05,3,9.69,1:03.17
4,9.80,1:13.24,2,9.88,1:13.01,1,9.89,1:12.94,3,9.95,1:13.12
4,9.85,1:23.09,1,9.79,1:22.80,3,10.07,1:23.01,2,9.82,1:22.94
3,10.12,1:33.21,1,9.75,1:32.55,4,10.51,1:33.52,2,10.23,1:33.17
