Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
4,14.530,14.530,3,14.290,14.290,2,14.160,14.160,1,14.120,14.120
4,11.270,25.810,3,11.450,25.750,2,11.350,25.510,1,11.320,25.440
4,11.480,37.290,3,11.540,37.290,2,11.520,37.030,1,11.440,36.890
4,10.700,47.990,3,10.680,47.980,2,10.730,47.770,1,10.640,47.530
1,9.720,57.720,4,10.060,58.040,3,9.990,57.770,2,10.190,57.720
4,10.370,1:08.100,3,9.840,1:07.890,1,9.860,1:07.630,2,10.100,1:07.820
4,9.810,1:17.910,1,9.490,1:17.390,2,9.810,1:17.440,3,10.070,1:17.900
3,9.510,1:27.420,1,9.740,1:27.130,2,9.720,1:27.170,4,10.160,1:28.060
3,9.910,1:37.340,2,10.180,1:37.320,1,9.990,1:37.160,4,10.730,1:38.800
