Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,7.01,7.01,5,11.12,11.12,1,7.01,7.01,3,7.21,7.21,4,7.41,7.41
4,9.84,16.85,5,13.95,25.07,1,9.37,16.38,2,9.35,16.56,3,9.30,16.71
4,9.64,26.49,5,14.13,39.20,1,9.03,25.41,2,9.03,25.59,3,8.90,25.61
4,9.66,36.15,5,12.91,52.11,2,9.13,34.54,3,9.27,34.86,1,8.92,34.53
4,9.84,45.983,5,13.14,1:05.243,2,9.29,43.823,3,9.61,44.470,1,9.10,43.628
