Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
2,7.29,7.29,1,7.20,7.20,3,7.59,7.59,4,7.59,7.59
2,9.50,16.79,1,9.48,16.68,4,9.78,17.37,3,9.72,17.31
2,9.01,25.81,1,8.95,25.63,4,9.74,27.12,3,9.28,26.60
2,9.18,34.99,1,9.20,34.83,4,9.73,36.85,3,9.45,36.06
1,9.47,44.460,2,9.65,44.476,4,10.07,46.911,3,9.97,46.029
