Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
3,12.38,12.38,1,12.35,12.35,2,12.36,12.36,5,12.64,12.64,4,12.46,12.46
3,9.49,21.87,2,9.47,21.82,1,9.42,21.78,4,9.41,22.05,5,9.69,22.15
1,8.91,30.78,3,9.14,30.96,2,9.08,30.86,4,9.03,31.08,5,9.03,31.18
1,9.00,39.78,2,8.92,39.88,3,9.03,39.89,4,8.98,40.06,5,9.02,40.20
1,8.78,48.56,2,8.91,48.79,4,8.98,48.87,3,8.79,48.85,5,8.83,49.03
1,8.65,57.21,4,9.11,57.90,2,8.92,57.79,5,9.35,58.20,3,8.85,57.88
1,8.75,1:05.96,4,9.19,1:07.09,2,8.90,1:06.69,5,9.80,1:08.00,3,9.06,1:06.94
1,9.14,1:15.10,3,8.96,1:16.05,2,9.07,1:15.76,5,9.84,1:17.84,4,9.24,1:16.18
1,9.51,1:24.610,0,,PEN,2,9.32,1:25.074,4,10.38,1:28.217,3,9.59,1:25.766
