Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
2,15.00,15.00,3,15.13,15.13,1,14.86,14.86
2,11.49,26.49,3,11.47,26.60,1,11.53,26.39
1,10.89,37.38,3,10.93,37.53,2,11.03,37.42
1,9.93,47.31,3,9.97,47.50,2,9.99,47.41
2,9.86,57.17,3,9.74,57.24,1,9.60,57.01
2,9.39,1:06.56,3,9.64,1:06.88,1,9.42,1:06.43
2,9.37,1:15.93,3,9.33,1:16.21,1,9.40,1:15.83
2,9.57,1:25.50,3,9.43,1:25.64,1,9.57,1:25.40
2,9.57,1:35.070,0,,PEN,1,9.60,1:34.995
