LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,12.79,12.79,2,12.92,12.92,4,13.12,13.12,3,13.03,13.03
1,9.87,22.67,2,9.81,22.74,4,9.81,22.93,3,9.87,22.91
1,9.79,32.46,2,9.72,32.47,3,9.73,32.66,4,9.90,32.81
1,9.79,42.26,2,9.86,42.33,3,9.86,42.53,4,9.78,42.60
2,10.10,52.36,1,10.01,52.34,4,10.00,52.53,3,9.92,52.53
1,9.88,1:02.25,2,9.94,1:02.28,4,10.03,1:02.56,3,9.94,1:02.47
1,9.77,1:12.02,2,9.82,1:12.11,3,9.69,1:12.26,4,9.85,1:12.32
2,9.72,1:21.75,1,9.40,1:21.52,4,9.64,1:21.90,3,9.54,1:21.87
2,9.89,1:31.637,1,10.09,1:31.610,3,9.86,1:31.755,4,9.98,1:31.843
