Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
3,12.90,12.90,2,12.79,12.79,4,13.03,13.03,5,13.11,13.11,1,12.54,12.54
3,9.84,22.74,2,9.82,22.61,4,9.86,22.89,5,9.88,22.99,1,9.93,22.47
4,9.93,32.67,3,9.99,32.60,2,9.60,32.49,5,9.76,32.75,1,9.84,32.31
4,9.57,42.24,3,9.57,42.17,2,9.55,42.04,5,9.54,42.29,1,9.60,41.91
5,9.04,51.28,1,8.70,50.87,2,8.99,51.03,4,8.91,51.20,3,9.13,51.04
5,9.09,1:00.37,1,9.12,59.99,2,9.07,1:00.10,3,8.99,1:00.19,4,9.32,1:00.36
4,9.08,1:09.45,1,9.04,1:09.03,2,9.03,1:09.13,3,9.10,1:09.29,5,12.45,1:12.81
4,9.02,1:18.47,1,9.04,1:18.07,2,9.08,1:18.21,3,9.04,1:18.33,5,12.34,1:25.15
4,8.94,1:27.393,1,9.03,1:27.084,2,8.99,1:27.182,3,8.97,1:27.286,5,12.52,1:37.651
